path,label,changes
freeplane\src\main\java\org\freeplane\view\swing\map\MapView.java,MapView,263
freeplane\src\main\java\org\freeplane\view\swing\map\NodeView.java,NodeView,209
freeplane\src\main\java\org\freeplane\view\swing\map\outline\ScrollableTreePanel.java,ScrollableTreePanel,135
freeplane\src\main\java\org\freeplane\view\swing\map\VerticalNodeViewLayoutStrategy.java,VerticalNodeViewLayoutStrategy,115
freeplane\src\main\java\org\freeplane\view\swing\map\MainView.java,MainView,101
freeplane\src\main\java\org\freeplane\features\icon\mindmapmode\TagCategoryEditor.java,TagCategoryEditor,89
freeplane\src\main\java\org\freeplane\features\styles\MapStyle.java,MapStyle,79
freeplane\src\main\java\org\freeplane\features\icon\TagCategories.java,TagCategories,74
freeplane\src\main\java\org\freeplane\features\icon\mindmapmode\TagEditor.java,TagEditor,71
freeplane\src\main\java\org\freeplane\view\swing\map\outline\MapAwareOutlinePane.java,MapAwareOutlinePane,67
freeplane\src\main\java\org\freeplane\features\ui\FrameController.java,FrameController,66
freeplane\src\main\java\org\freeplane\features\filter\FilterController.java,FilterController,66
freeplane\src\main\java\org\freeplane\features\map\mindmapmode\MMapController.java,MMapController,58
freeplane\src\main\java\org\freeplane\features\icon\mindmapmode\MIconController.java,MIconController,57
freeplane\src\main\java\org\freeplane\view\swing\map\outline\BreadcrumbPanel.java,BreadcrumbPanel,57
freeplane\src\main\java\org\freeplane\features\text\mindmapmode\MTextController.java,MTextController,53
freeplane\src\main\java\org\freeplane\view\swing\map\mindmapmode\EditNodeTextField.java,EditNodeTextField,53
freeplane\src\main\java\org\freeplane\features\map\MapController.java,MapController,52
freeplane\src\main\java\org\freeplane\features\url\mindmapmode\MFileManager.java,MFileManager,51
freeplane_plugin_codeexplorer\src\main\java\org\freeplane\plugin\codeexplorer\configurator\CodeExplorerConfigurator.java,CodeExplorerConfigurator,51
freeplane_plugin_codeexplorer\src\main\java\org\freeplane\plugin\codeexplorer\map\CodeMapController.java,CodeMapController,50
freeplane_plugin_ai\src\main\java\org\freeplane\plugin\ai\chat\AIChatPanel.java,AIChatPanel,49
freeplane_plugin_ai\src\main\java\org\freeplane\plugin\ai\tools\AIToolSet.java,AIToolSet,49
freeplane\src\main\java\org\freeplane\view\swing\ui\mindmapmode\MNodeDropListener.java,MNodeDropListener,47
freeplane\src\main\java\org\freeplane\main\application\MapViewDockingWindows.java,MapViewDockingWindows,46
freeplane\src\main\java\org\freeplane\features\map\mindmapmode\clipboard\MMapClipboardController.java,MMapClipboardController,44
freeplane\src\main\java\org\freeplane\main\application\ApplicationViewController.java,ApplicationViewController,44
freeplane\src\main\java\org\freeplane\view\swing\map\MapViewController.java,MapViewController,43
freeplane\src\main\java\org\freeplane\features\map\NodeModel.java,NodeModel,42
freeplane_plugin_script\src\main\java\org\freeplane\plugin\script\proxy\NodeProxy.java,NodeProxy,40
freeplane\src\main\java\org\freeplane\view\swing\map\NodeViewLayoutHelper.java,NodeViewLayoutHelper,40
freeplane\src\main\java\org\freeplane\view\swing\map\outline\OutlinePane.java,OutlinePane,39
freeplane\src\main\java\org\freeplane\view\swing\map\outline\BlockPanel.java,BlockPanel,37
freeplane_plugin_codeexplorer\src\main\java\org\freeplane\plugin\codeexplorer\map\CodeNode.java,CodeNode,36
freeplane\src\main\java\org\freeplane\features\link\LinkController.java,LinkController,34
freeplane\src\main\java\org\freeplane\features\styles\MapStyleModel.java,MapStyleModel,34
freeplane\src\main\java\org\freeplane\core\ui\components\UITools.java,UITools,34
freeplane\src\main\java\org\freeplane\features\note\mindmapmode\NotePanel.java,NotePanel,34
freeplane_plugin_codeexplorer\src\main\java\org\freeplane\plugin\codeexplorer\configurator\CodeProjectController.java,CodeProjectController,34
freeplane\src\main\java\org\freeplane\main\application\FreeplaneGUIStarter.java,FreeplaneGUIStarter,33
freeplane\src\main\java\org\freeplane\features\note\mindmapmode\NoteManager.java,NoteManager,32
freeplane\src\main\java\org\freeplane\view\swing\map\outline\NavigationButtons.java,NavigationButtons,32
freeplane\src\main\java\org\freeplane\features\note\mindmapmode\MNoteController.java,MNoteController,31
freeplane\src\main\java\org\freeplane\features\styles\mindmapmode\styleeditorpanel\StyleEditorPanel.java,StyleEditorPanel,31
freeplane\src\main\java\org\freeplane\view\swing\map\MapScroller.java,MapScroller,31
freeplane\src\main\java\org\freeplane\view\swing\map\MapViewScrollPane.java,MapViewScrollPane,31
freeplane\src\main\java\org\freeplane\features\filter\Filter.java,Filter,31
freeplane_plugin_codeexplorer\src\main\java\org\freeplane\plugin\codeexplorer\map\ProjectRootNode.java,ProjectRootNode,31
freeplane\src\main\java\org\freeplane\view\swing\map\attribute\AttributeTable.java,AttributeTable,30
freeplane\src\main\java\org\freeplane\view\swing\ui\DefaultNodeMouseMotionListener.java,DefaultNodeMouseMotionListener,30
freeplane\src\main\java\org\freeplane\view\swing\ui\NodeSelector.java,NodeSelector,30
freeplane_plugin_codeexplorer\src\main\java\org\freeplane\plugin\codeexplorer\configurator\CodeDependenciesPanel.java,CodeDependenciesPanel,30
freeplane\src\main\java\org\freeplane\features\styles\mindmapmode\MLogicalStyleController.java,MLogicalStyleController,29
freeplane\src\main\java\org\freeplane\features\text\TextController.java,TextController,29
freeplane\src\main\java\org\freeplane\view\swing\map\NodeViewFactory.java,NodeViewFactory,28
freeplane\src\main\java\org\freeplane\view\swing\map\ZoomableLabelUI.java,ZoomableLabelUI,28
freeplane\src\main\java\org\freeplane\features\styles\mindmapmode\styleeditorpanel\StyleControlGroup.java,StyleControlGroup,28
freeplane_plugin_codeexplorer\src\main\java\org\freeplane\plugin\codeexplorer\map\PackageNode.java,PackageNode,28
freeplane_plugin_markdown\src\main\java\org\freeplane\plugin\markdown\MarkdownRenderer.java,MarkdownRenderer,27
freeplane\src\main\java\org\freeplane\view\swing\ui\mindmapmode\MNodeMotionListener.java,MNodeMotionListener,27
freeplane_plugin_latex\src\main\java\org\freeplane\plugin\latex\LatexRenderer.java,LatexRenderer,26
freeplane\src\main\java\org\freeplane\view\swing\features\time\mindmapmode\nodelist\NodeList.java,NodeList,26
freeplane\src\main\java\org\freeplane\view\swing\map\overview\MapViewPane.java,MapViewPane,26
freeplane\src\main\java\org\freeplane\features\icon\IconController.java,IconController,26
freeplane\src\main\java\org\freeplane\view\swing\map\outline\NodePositioning.java,NodePositioning,26
