path,label,changes
freeplane_api\src\main\java\org\freeplane\api\NodeRO.java,NodeRO,25
freeplane_plugin_codeexplorer\src\main\java\org\freeplane\plugin\codeexplorer\task\CodeExplorerConfiguration.java,CodeExplorerConfiguration,25
freeplane\src\main\java\org\freeplane\view\swing\map\outline\MapTreeNode.java,MapTreeNode,25
freeplane\src\main\java\org\freeplane\view\swing\map\outline\OutlineController.java,OutlineController,25
freeplane\src\main\java\org\freeplane\main\mindmapmode\MModeControllerFactory.java,MModeControllerFactory,24
freeplane_plugin_codeexplorer\src\main\java\org\freeplane\plugin\codeexplorer\map\ClassesNode.java,ClassesNode,24
freeplane_plugin_codeexplorer\src\main\java\org\freeplane\plugin\codeexplorer\map\CodeMap.java,CodeMap,24
freeplane\src\main\java\org\freeplane\view\swing\map\outline\OutlineViewport.java,OutlineViewport,24
freeplane\src\main\java\org\freeplane\main\application\AuxillaryEditorSplitPane.java,AuxillaryEditorSplitPane,24
freeplane\src\main\java\org\freeplane\view\swing\features\filepreview\ViewerController.java,ViewerController,23
freeplane\src\main\java\org\freeplane\features\text\mindmapmode\EditNodeWYSIWYG.java,EditNodeWYSIWYG,23
freeplane_plugin_codeexplorer\src\main\java\org\freeplane\plugin\codeexplorer\task\ParsedConfiguration.java,ParsedConfiguration,23
freeplane\src\main\java\org\freeplane\view\swing\map\ZoomableLabel.java,ZoomableLabel,22
freeplane\src\main\java\org\freeplane\core\ui\svgicons\SVGIconCreator.java,SVGIconCreator,22
freeplane_plugin_codeexplorer\src\main\java\org\freeplane\plugin\codeexplorer\map\ShowDependingNodesAction.java,ShowDependingNodesAction,22
freeplane_plugin_codeexplorer\src\main\java\org\freeplane\plugin\codeexplorer\map\ClassNode.java,ClassNode,22
freeplane\src\main\java\org\freeplane\core\resources\ResourceController.java,ResourceController,21
freeplane\src\main\java\org\freeplane\features\url\UrlManager.java,UrlManager,21
freeplane_api\src\main\java\org\freeplane\api\Node.java,Node,21
freeplane\src\main\java\org\freeplane\view\swing\map\MainViewPainter.java,MainViewPainter,21
freeplane\src\main\java\org\freeplane\view\swing\map\edge\HorizontalEdgeView.java,HorizontalEdgeView,21
freeplane_plugin_codeexplorer\src\main\java\org\freeplane\plugin\codeexplorer\task\DirectoryMatcher.java,DirectoryMatcher,21
freeplane\src\main\java\org\freeplane\view\swing\map\outline\TreeNode.java,TreeNode,21
freeplane\src\main\java\org\freeplane\view\swing\map\outline\OutlineGeometry.java,OutlineGeometry,21
freeplane\src\main\java\org\freeplane\core\ui\components\IconSelectionPopupDialog.java,IconSelectionPopupDialog,20
freeplane\src\main\java\org\freeplane\view\swing\map\MiniMapView.java,MiniMapView,20
freeplane_api\src\main\java\org\freeplane\api\ChildNodesLayout.java,ChildNodesLayout,20
freeplane\src\main\java\org\freeplane\core\resources\components\ButtonPanelProperty.java,ButtonPanelProperty,20
freeplane_plugin_ai\src\main\java\org\freeplane\plugin\ai\Activator.java,Activator,20
freeplane\src\main\java\org\freeplane\core\util\Compat.java,Compat,19
freeplane\src\main\java\org\freeplane\core\ui\components\JFreeplaneCustomizableFileChooser.java,JFreeplaneCustomizableFileChooser,19
freeplane\src\main\java\org\freeplane\view\swing\map\mindmapmode\MMapViewController.java,MMapViewController,19
freeplane\src\main\java\org\freeplane\features\ui\ViewController.java,ViewController,19
freeplane\src\main\java\org\freeplane\view\swing\map\overview\MapOverviewImageMouseHandler.java,MapOverviewImageMouseHandler,19
freeplane\src\main\java\org\freeplane\features\ui\IMapViewManager.java,IMapViewManager,19
