path,label,changes
freeplane\src\main\java\org\freeplane\view\swing\ui\mindmapmode\MNodeDropListener.java,MNodeDropListener,60
freeplane\src\org\freeplane\features\mindmapmode\icon\MIconController.java,MIconController,59
freeplane\src\org\freeplane\main\applet\AppletViewController.java,AppletViewController,59
freeplane\src\main\java\org\freeplane\main\application\ApplicationViewController.java,ApplicationViewController,59
freeplane\src\main\java\org\freeplane\features\map\mindmapmode\clipboard\MMapClipboardController.java,MMapClipboardController,59
freeplane\src\org\freeplane\features\common\nodestyle\NodeStyleController.java,NodeStyleController,58
freeplane\src\org\freeplane\core\util\Compat.java,Compat,57
freeplane\src\main\java\org\freeplane\view\swing\map\outline\BreadcrumbPanel.java,BreadcrumbPanel,57
freeplane\src\org\freeplane\view\swing\map\BubbleMainView.java,BubbleMainView,56
freeplane\src\main\java\org\freeplane\features\filter\Filter.java,Filter,56
freeplane\src\org\freeplane\features\mindmapmode\addins\export\ExportWithXSLT.java,ExportWithXSLT,55
freeplane\src\main\java\org\freeplane\core\resources\ResourceController.java,ResourceController,55
freeplane\src\main\java\org\freeplane\features\link\mindmapmode\MLinkController.java,MLinkController,55
freeplane_plugin_script\src\main\java\org\freeplane\plugin\script\proxy\Proxy.java,Proxy,55
freeplane\src\org\freeplane\view\swing\map\ForkMainView.java,ForkMainView,54
freeplane\src\org\freeplane\core\addins\PersistentNodeHook.java,PersistentNodeHook,54
freeplane\src\org\freeplane\core\model\NodeModel.java,NodeModel,54
freeplane\src\org\freeplane\core\ui\AccelerateableAction.java,AccelerateableAction,54
freeplane\src\org\freeplane\features\mindmapmode\file\ExportBranchAction.java,ExportBranchAction,53
freeplane\src\org\freeplane\features\mindmapmode\text\EditNodeWYSIWYG.java,EditNodeWYSIWYG,53
freeplane\src\org\freeplane\core\ui\AFreeplaneAction.java,AFreeplaneAction,53
freeplane\src\org\freeplane\features\mindmapmode\MModeController.java,MModeController,52
freeplane\src\org\freeplane\features\common\edge\EdgeController.java,EdgeController,52
freeplane\src\org\freeplane\main\application\FreeplaneSplashModern.java,FreeplaneSplashModern,52
freeplane\src\org\freeplane\main\filemode\FModeControllerFactory.java,FModeControllerFactory,52
freeplane\src\main\java\org\freeplane\view\swing\ui\DefaultNodeMouseMotionListener.java,DefaultNodeMouseMotionListener,52
freeplane\src\org\freeplane\features\common\text\TextController.java,TextController,51
