file_a,file_b,label_a,label_b,co_changes,changes_a,changes_b
freeplane\src\org\freeplane\core\ui\MenuBuilder.java,freeplane\src\org\freeplane\view\swing\ui\UserInputListenerFactory.java,MenuBuilder,UserInputListenerFactory,34,116,74
freeplane\src\org\freeplane\main\application\FreeplaneStarter.java,freeplane\src\org\freeplane\view\swing\map\MapView.java,FreeplaneStarter,MapView,34,135,279
freeplane\src\main\java\org\freeplane\view\swing\map\NodeView.java,freeplane\src\main\java\org\freeplane\view\swing\map\VerticalNodeViewLayoutStrategy.java,NodeView,VerticalNodeViewLayoutStrategy,34,301,140
freeplane\src\main\java\org\freeplane\view\swing\map\outline\BlockPanel.java,freeplane\src\main\java\org\freeplane\view\swing\map\outline\ScrollableTreePanel.java,BlockPanel,ScrollableTreePanel,34,37,135
freeplane\src\org\freeplane\core\controller\Controller.java,freeplane\src\org\freeplane\view\swing\map\MapView.java,Controller,MapView,33,62,279
freeplane\src\org\freeplane\view\swing\map\NodeView.java,freeplane\src\org\freeplane\view\swing\map\RootMainView.java,NodeView,RootMainView,33,262,63
freeplane\src\org\freeplane\features\mindmapmode\file\ExportBranchAction.java,freeplane\src\org\freeplane\features\mindmapmode\file\ImportLinkedBranchAction.java,ExportBranchAction,ImportLinkedBranchAction,33,53,36
freeplane\src\org\freeplane\features\mindmapmode\file\ImportLinkedBranchAction.java,freeplane\src\org\freeplane\features\mindmapmode\file\ImportLinkedBranchWithoutRootAction.java,ImportLinkedBranchAction,ImportLinkedBranchWithoutRootAction,33,36,37
freeplane\src\org\freeplane\features\common\nodestyle\NodeStyleController.java,freeplane\src\org\freeplane\view\swing\map\MapView.java,NodeStyleController,MapView,33,58,279
freeplane\src\org\freeplane\core\ui\AFreeplaneAction.java,freeplane\src\org\freeplane\core\ui\MenuBuilder.java,AFreeplaneAction,MenuBuilder,33,53,116
freeplane_plugin_script\src\org\freeplane\plugin\script\ScriptingEngine.java,freeplane_plugin_script\src\org\freeplane\plugin\script\ScriptingRegistration.java,ScriptingEngine,ScriptingRegistration,33,76,77
